i,j,pij
1,2,0.7245636936125724
2,3,0.6031651474354152
3,4,0.7245636936125723
4,5,0.5547001962252286
5,6,0.5182333987417427
6,1,0.5547001962252288
6,7,0.5547001962252287
7,8,0.7245636936125721
8,9,0.6031651474354155
9,10,0.724563693612573
10,5,0.554700196225229
