sitio,tipo,qi
1,N,1.0
2,C,1.0000000000000002
3,C,1.0000000000000002
4,C,0.9999999999999998
5,C,0.9999999999999998
6,C,0.9999999999999999
7,C,0.9999999999999996
8,C,1.0000000000000009
9,C,1.000000000000001
10,C,1.0000000000000004
