MO,E/β,E (eV),ocupação
1,2.302775637731995,-5.756939094329987,2
2,1.6180339887498953,-4.045084971874738,2
3,1.3027756377319943,-3.256939094329986,2
4,0.9999999999999993,-2.4999999999999982,2
5,0.6180339887498947,-1.5450849718747366,2
6,-0.6180339887498947,1.5450849718747368,0
7,-0.9999999999999997,2.499999999999999,0
8,-1.3027756377319946,3.2569390943299865,0
9,-1.6180339887498945,4.045084971874736,0
10,-2.3027756377319952,5.756939094329988,0
